inputs;outputs
0.0, 0.7153905645784996, 0.7072037180480247, 0.8853601859024013, 0.002320185614849188, 0.03789636504253674, 0.9818181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.7122969837587007, 0.7072037180480247, 0.8853601859024013, 0.0015467904098994587, 0.038669760247486466, 0.9818181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.7092034029389018, 0.7072037180480247, 0.8853601859024013, 7.733952049497294E-4, 0.03944315545243619, 0.9818181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.7061098221191029, 0.6948102246320682, 0.8853601859024013, 0.0030935808197989174, 0.04021655065738593, 0.9772727272727273, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.703016241299304, 0.6948102246320682, 0.8853601859024013, 0.002320185614849188, 0.040989945862335654, 0.9772727272727273, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.699922660479505, 0.6948102246320682, 0.8853601859024013, 0.0015467904098994587, 0.04176334106728538, 0.9772727272727273, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6968290796597061, 0.6948102246320682, 0.8853601859024013, 7.733952049497294E-4, 0.042536736272235115, 0.9772727272727273, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;0.0, 0.0, 0.0, 1.0
0.0, 0.6937354988399071, 0.6460108443067389, 0.8853601859024013, 0.0030935808197989174, 0.04331013147718484, 0.9727272727272728, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;0.0, 0.0, 0.0, 1.0
0.0, 0.6906419180201083, 0.6460108443067389, 0.8853601859024013, 0.002320185614849188, 0.04408352668213457, 0.9727272727272728, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;0.0, 0.0, 0.0, 1.0
0.0, 0.6875483372003094, 0.6460108443067389, 0.8853601859024013, 0.0015467904098994587, 0.0448569218870843, 0.9727272727272728, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;0.0, 0.0, 0.0, 1.0
0.0, 0.6844547563805105, 0.6460108443067389, 0.8853601859024013, 7.733952049497294E-4, 0.04563031709203403, 0.9727272727272728, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;0.0, 0.0, 0.0, 1.0
0.0, 0.6450116009280742, 0.6429124709527498, 0.8853601859024013, 0.0030935808197989174, 0.04640371229698376, 0.9681818181818181, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6442382057231245, 0.6429124709527498, 0.8853601859024013, 0.002320185614849188, 0.04563031709203403, 0.9681818181818181, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6434648105181748, 0.6429124709527498, 0.8853601859024013, 0.0015467904098994587, 0.0448569218870843, 0.9681818181818181, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.642691415313225, 0.6429124709527498, 0.8853601859024013, 7.733952049497294E-4, 0.04408352668213457, 0.9681818181818181, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
